FIPS_code,PCTPOVALL_2020
00000,11.9
01000,14.9
01001,11.2
01003,8.9
01005,25.5
01007,17.8
01009,13.1
01011,30.8
01013,20.6
01015,14.5
01017,16.3
01019,14.7
01021,13.9
01023,20.4
01025,19.5
01027,14.2
01029,14.2
01031,13.9
01033,14.4
01035,22.9
01037,17.4
01039,17.1
01041,16.8
01043,12.5
01045,15.5
01047,26.7
01049,15.2
01051,11.5
01053,20.4
01055,15.6
01057,16.5
01059,17.2
01061,21
01063,27.9
01065,21.9
01067,16.2
01069,14.8
01071,15.3
01073,14.4
01075,17.4
01077,13.9
01079,15.4
01081,17.9
01083,10.4
01085,21.9
01087,27.9
01089,10.5
01091,18.3
01093,16.8
01095,15.4
01097,17.6
01099,22.5
01101,20.4
01103,14.4
01105,30.7
01107,22.7
01109,19.7
01111,17.5
01113,20.3
01115,10.5
01117,7
01119,29.2
01121,16.9
01123,15.2
01125,14.4
01127,16.4
01129,17.5
01131,22.2
01133,17.4
02000,9.6
02013,15.1
02016,8.1
02020,8.3
02050,25.3
02060,10.7
02063,7
02066,12.7
02068,6.4
02070,18.7
02090,7.2
02100,9.6
02105,12.7
02110,8.1
02122,10.6
02130,8.3
02150,7.5
02158,27.9
02164,17.6
02170,8.7
02180,18.8
02185,11.1
02188,18.5
02195,7.4
02198,15.9
02220,7.4
02230,3.8
02240,11.7
02275,10.6
02282,12.4
02290,20.5
04000,12.8
04001,32.4
04003,14.6
04005,17.2
04007,16.7
04009,15.2
04011,8.4
04012,20.8
04013,11.6
04015,15.3
04017,23.3
04019,14.9
04021,11.1
04023,16.8
04025,10.8
04027,15.2
05000,15.2
05001,17.2
05003,17.1
05005,14.4
05007,9.1
05009,14.1
05011,20.6
05013,16.2
05015,14.1
05017,26.8
05019,20.1
05021,18.1
05023,14.5
05025,13.8
05027,18.3
05029,15.8
05031,16.8
05033,14.4
05035,22.9
05037,21.2
05039,19.5
05041,22.8
05043,18.4
05045,12
05047,15.3
05049,17
05051,15.7
05053,9.9
05055,17.1
05057,18.7
05059,14.9
05061,16.7
05063,15
05065,20.1
05067,23.1
05069,18.9
05071,17.3
05073,19.8
05075,19.2
05077,36.8
05079,23.6
05081,16.2
05083,15.8
05085,10.9
05087,16.9
05089,19.1
05091,19.2
05093,21
05095,23.8
05097,18.8
05099,19.1
05101,18.7
05103,20.5
05105,14.7
05107,22.1
05109,18.6
05111,21.2
05113,18.1
05115,14.1
05117,14.5
05119,15.3
05121,16.3
05123,30.1
05125,8.2
05127,17.5
05129,22.3
05131,16.8
05133,16.7
05135,18.1
05137,20.1
05139,16.9
05141,16.4
05143,13.2
05145,14.8
05147,22.6
05149,14.3
06000,11.5
06001,8.6
06003,14.3
06005,10.3
06007,17.3
06009,11.6
06011,10.3
06013,7.2
06015,18.5
06017,8.4
06019,17.1
06021,12.4
06023,15.8
06025,18.1
06027,10.9
06029,18.3
06031,14.5
06033,15.9
06035,15.5
06037,13.2
06039,14.1
06041,6
06043,13.3
06045,14.3
06047,16.3
06049,17.9
06051,9
06053,11.6
06055,7.9
06057,9.2
06059,9
06061,6.5
06063,13.5
06065,11.2
06067,12.5
06069,7.9
06071,14.3
06073,9.5
06075,10
06077,13.9
06079,10.6
06081,5.5
06083,10.5
06085,6.6
06087,10.7
06089,13.9
06091,11.5
06093,14.3
06095,9.3
06097,7.8
06099,13
06101,11.5
06103,13.3
06105,18
06107,17.1
06109,12.1
06111,9.1
06113,14.8
06115,16.3
08000,9
08001,9.4
08003,16.7
08005,7
08007,9.4
08009,16.9
08011,26.6
08013,9.5
08014,4.2
08015,9.6
08017,12.3
08019,7.3
08021,17.6
08023,21.8
08025,37.2
08027,12.2
08029,12.1
08031,12.4
08033,12.5
08035,3
08037,6.4
08039,4.8
08041,9.1
08043,15.2
08045,6.7
08047,6.6
08049,6.8
08051,9.6
08053,7.2
08055,19.9
08057,11.6
08059,6.1
08061,12
08063,10.8
08065,10.6
08067,10
08069,9.9
08071,16.4
08073,15.6
08075,13.1
08077,11.1
08079,8.7
08081,9.9
08083,12.9
08085,10.4
08087,10.5
08089,17.6
08091,6.7
08093,7.8
08095,10.2
08097,6.4
08099,16.2
08101,14.1
08103,9.8
08105,13.3
08107,6.3
08109,18.6
08111,11.3
08113,7.6
08115,13.2
08117,6.1
08119,7.3
08121,11.8
08123,8.9
08125,11.5
09000,9.7
09001,8.8
09003,10.7
09005,7.4
09007,7.7
09009,11.2
09011,8
09013,6.9
09015,10.4
10000,10.9
10001,13
10003,10.1
10005,11
11000,15
11001,15
12000,12.4
12001,17.2
12003,12.8
12005,12.4
12007,17.5
12009,9.9
12011,11
12013,20.3
12015,9.8
12017,12.6
12019,8.9
12021,10.1
12023,15.6
12027,20.8
12029,23.2
12031,15.2
12033,13.5
12035,9.4
12037,19.1
12039,21.9
12041,14.5
12043,18.1
12045,15.1
12047,24.2
12049,21.2
12051,22.9
12053,12.5
12055,16.1
12057,11.9
12059,20.5
12061,8.7
12063,19.5
12065,17.2
12067,20.7
12069,9.2
12071,10.5
12073,17.6
12075,16.9
12077,21.2
12079,23.8
12081,10.9
12083,15.3
12085,11.1
12086,15
12087,10.2
12089,8.1
12091,9.6
12093,17.7
12095,12.7
12097,11.8
12099,12
12101,11.4
12103,11.1
12105,14.4
12107,24.3
12109,8.1
12111,13.8
12113,9.4
12115,8.7
12117,8
12119,12.3
12121,17.7
12123,19.3
12125,20.7
12127,11.6
12129,10.3
12131,11.4
12133,20.4
13000,14
13001,19.9
13003,21.6
13005,21.1
13007,23.7
13009,22.6
13011,11.6
13013,10.1
13015,10.2
13017,22.3
13019,18.9
13021,28
13023,18.5
13025,17.8
13027,20.6
13029,8
13031,20.7
13033,20
13035,20.8
13037,34.4
13039,9.4
13043,20.1
13045,16.8
13047,10.1
13049,25.5
13051,15.6
13053,15.6
13055,18.8
13057,6.7
13059,24.6
13061,24.1
13063,16.8
13065,20.4
13067,9.2
13069,23.1
13071,20.4
13073,6.7
13075,19.5
13077,8.6
13079,16.1
13081,24.5
13083,13
13085,8.7
13087,25.6
13089,15.8
13091,21.4
13093,27
13095,27.4
13097,11.5
13099,24
13101,20.6
13103,8.1
13105,23.8
13107,26.4
13109,19.6
13111,15.6
13113,5.3
13115,18.4
13117,5.1
13119,16.3
13121,13
13123,14
13125,15.5
13127,15.5
13129,11.8
13131,18.7
13133,15.3
13135,10.4
13137,13.7
13139,12.7
13141,30.7
13143,15.5
13145,9
13147,14.4
13149,16.4
13151,8.7
13153,10.8
13155,20.9
13157,9.1
13159,14
13161,20
13163,21.1
13165,28
13167,25.9
13169,11.6
13171,13.8
13173,19.6
13175,20.7
13177,10.1
13179,14.7
13181,16.5
13183,16.7
13185,20.3
13187,12.5
13189,16.7
13191,19.9
13193,31.1
13195,14.5
13197,20.6
13199,22.1
13201,19.8
13205,38.2
13207,12.8
13209,19.3
13211,11.6
13213,15.9
13215,21.1
13217,14.4
13219,6
13221,13.4
13223,7.3
13225,19.2
13227,10.5
13229,16.5
13231,10.1
13233,16.3
13235,20.4
13237,16.3
13239,23.1
13241,13.8
13243,27.4
13245,25.5
13247,12.7
13249,15
13251,20.7
13253,22.9
13255,17.9
13257,16.9
13259,31.3
13261,24.3
13263,20.8
13265,23.2
13267,20.7
13269,23.2
13271,29.9
13273,27.8
13275,16.2
13277,20.5
13279,22.2
13281,13.2
13283,23.4
13285,16.4
13287,22.2
13289,20
13291,12.9
13293,15.2
13295,14.1
13297,11.4
13299,26
13301,23.4
13303,21.3
13305,19.7
13307,18.6
13309,35.6
13311,12.5
13313,13
13315,27.9
13317,20.2
13319,20.1
13321,18.2
15000,8.9
15001,12.2
15003,8
15005,
15007,9.9
15009,9.5
16000,10.1
16001,7.7
16003,13.7
16005,12.2
16007,9.5
16009,12.5
16011,11.1
16013,6.9
16015,11.5
16017,12.6
16019,9.7
16021,14
16023,14.2
16025,8.3
16027,10.6
16029,7.9
16031,10.1
16033,11.6
16035,14
16037,12.7
16039,11.7
16041,7.7
16043,12.6
16045,11
16047,11.2
16049,13.1
16051,8.5
16053,12.3
16055,8.6
16057,15.3
16059,15.3
16061,12.9
16063,11.4
16065,14.3
16067,14
16069,11.6
16071,9.7
16073,13.6
16075,11.5
16077,12.4
16079,14.4
16081,7.4
16083,11.1
16085,8.7
16087,14.2
17000,11
17001,10.7
17003,24.2
17005,10.8
17007,6.8
17009,16.7
17011,10
17013,9.2
17015,10.5
17017,12.2
17019,15.1
17021,9.9
17023,10.4
17025,13.3
17027,7.1
17029,17.5
17031,12.9
17033,11
17035,8.9
17037,10.8
17039,9.9
17041,8.2
17043,5.9
17045,11.7
17047,10.7
17049,9.3
17051,14.7
17053,9.5
17055,15.5
17057,13.2
17059,15.6
17061,13.3
17063,5.9
17065,13
17067,11.2
17069,18
17071,10.6
17073,9.6
17075,11.2
17077,17.2
17079,9.6
17081,12.5
17083,8.5
17085,9.1
17087,14.9
17089,7.3
17091,13.6
17093,3.9
17095,13.4
17097,7
17099,11.4
17101,16.5
17103,10.6
17105,9.9
17107,11.6
17109,16.8
17111,6.3
17113,10.7
17115,12.8
17117,10.8
17119,11
17121,14.2
17123,9.3
17125,13.4
17127,14.8
17129,7.9
17131,8.8
17133,4.1
17135,13.5
17137,12.4
17139,9.1
17141,8.3
17143,14.2
17145,15.1
17147,6.4
17149,13.5
17151,15.6
17153,20.4
17155,7.3
17157,12
17159,11.9
17161,13.5
17163,13.8
17165,15.3
17167,12.8
17169,11.7
17171,10.8
17173,8.9
17175,10.8
17177,11.2
17179,7.6
17181,14
17183,18.6
17185,11.7
17187,10.7
17189,7.6
17191,12.9
17193,15.4
17195,9.1
17197,7.2
17199,13.9
17201,14.6
17203,6.2
18000,11.6
18001,11.8
18003,11.4
18005,9.1
18007,10.7
18009,13.4
18011,5.2
18013,9.9
18015,7.8
18017,10.7
18019,8.6
18021,9.8
18023,10
18025,15.6
18027,10.9
18029,7.8
18031,10
18033,8.8
18035,19.4
18037,6.7
18039,9.8
18041,13.5
18043,11.5
18045,10.9
18047,7.7
18049,12
18051,9.3
18053,16.7
18055,11.2
18057,4.2
18059,5.1
18061,8.8
18063,5.2
18065,10.8
18067,11.5
18069,9.1
18071,10.3
18073,8.3
18075,13.9
18077,12.7
18079,10.8
18081,6.7
18083,15.9
18085,8.2
18087,8.8
18089,15.8
18091,12.1
18093,11.8
18095,12.1
18097,14.4
18099,9.3
18101,11.2
18103,13.1
18105,18.2
18107,10.8
18109,8.5
18111,10.5
18113,9.9
18115,9.8
18117,13
18119,11.7
18121,14.3
18123,12.3
18125,9.7
18127,8.6
18129,9.3
18131,11.2
18133,11.3
18135,12.4
18137,9.5
18139,9.7
18141,12.7
18143,13.9
18145,9.4
18147,7.9
18149,14.2
18151,9.6
18153,15.5
18155,14
18157,16.1
18159,7.3
18161,10
18163,14.6
18165,11.9
18167,20.7
18169,10.6
18171,8.1
18173,6.4
18175,13.4
18177,15.1
18179,8.2
18181,9
18183,7.2
19000,10.2
19001,10.8
19003,10.8
19005,10.9
19007,14.6
19009,9.6
19011,7.5
19013,12.2
19015,6.9
19017,5.6
19019,8.3
19021,9.1
19023,8.4
19025,10
19027,7
19029,10.8
19031,7.3
19033,10.6
19035,9
19037,8.3
19039,11.1
19041,8.1
19043,10.4
19045,12.5
19047,12.5
19049,4.4
19051,11.7
19053,16.9
19055,8.4
19057,13
19059,6.7
19061,8.9
19063,10.2
19065,11.8
19067,9.3
19069,10.5
19071,9.1
19073,10.7
19075,5.5
19077,8.5
19079,8.1
19081,8.1
19083,9.6
19085,8.3
19087,10.8
19089,10.5
19091,8.8
19093,10.3
19095,6.4
19097,11.4
19099,8.5
19101,14.8
19103,14.1
19105,9.9
19107,13.7
19109,10
19111,11.5
19113,8.1
19115,9.1
19117,13.5
19119,6.3
19121,7.5
19123,10.2
19125,8
19127,10.1
19129,8.3
19131,8.9
19133,11
19135,11.4
19137,11.6
19139,10.2
19141,8.4
19143,7.9
19145,13.2
19147,9.5
19149,6
19151,10.2
19153,11.5
19155,9.2
19157,11.6
19159,13.3
19161,10.5
19163,12.1
19165,8.3
19167,6.5
19169,12.4
19171,10.8
19173,10.5
19175,12.1
19177,14.4
19179,15.5
19181,4.9
19183,7.1
19185,13
19187,12.4
19189,9.3
19191,9.2
19193,11.3
19195,8.5
19197,10.7
20000,10.6
20001,14.5
20003,12.7
20005,13.1
20007,12
20009,12.7
20011,14.5
20013,13
20015,8.7
20017,10.1
20019,18.3
20021,14.3
20023,11.8
20025,11
20027,9.8
20029,12.1
20031,9.6
20033,11.2
20035,14
20037,16.6
20039,12.4
20041,9.8
20043,12.9
20045,11.8
20047,10.8
20049,15.1
20051,16
20053,10.6
20055,12.2
20057,10.3
20059,8.9
20061,12.5
20063,10.1
20065,12.5
20067,10.1
20069,7
20071,10
20073,12.7
20075,10.4
20077,13.2
20079,9.3
20081,10.2
20083,9.1
20085,9.3
20087,7.2
20089,13
20091,4.6
20093,9.4
20095,9.8
20097,12.3
20099,14
20101,9.6
20103,8.5
20105,12.7
20107,12.5
20109,9.1
20111,12.6
20113,7.7
20115,10.1
20117,8.7
20119,9.3
20121,7.6
20123,10
20125,17.8
20127,10.5
20129,12.1
20131,8.3
20133,13.8
20135,9.6
20137,12.9
20139,10.1
20141,11.7
20143,10
20145,14.9
20147,10.9
20149,6.9
20151,9.6
20153,11.1
20155,10.6
20157,9.9
20159,10.3
20161,19.2
20163,9.6
20165,11.2
20167,12.9
20169,9.8
20171,7.3
20173,13.4
20175,11.5
20177,10.5
20179,10.5
20181,13
20183,10.3
20185,11
20187,10.2
20189,9.7
20191,11.3
20193,9.1
20195,10.4
20197,8.5
20199,12.5
20201,9.9
20203,10.6
20205,14.3
20207,14
20209,16.9
21000,14.9
21001,22.1
21003,15.3
21005,10
21007,14.2
21009,17.3
21011,22.5
21013,29.8
21015,6.5
21017,14.1
21019,15.8
21021,14
21023,13.2
21025,27.9
21027,17.1
21029,8.7
21031,17.1
21033,15.3
21035,15.6
21037,10.6
21039,14.4
21041,16.2
21043,18.5
21045,22.7
21047,16.9
21049,14.4
21051,37.3
21053,21.5
21055,16.8
21057,21
21059,13.4
21061,15.8
21063,28.8
21065,20.6
21067,14.6
21069,14.6
21071,28.3
21073,12.8
21075,25.2
21077,13.3
21079,14
21081,12.8
21083,18.2
21085,20.5
21087,20.1
21089,13
21091,14.4
21093,11.2
21095,28
21097,13.5
21099,22.1
21101,13.4
21103,14.2
21105,20.9
21107,18.1
21109,24
21111,11.4
21113,10.5
21115,22.5
21117,11
21119,27.7
21121,27.8
21123,14.7
21125,17.9
21127,22.3
21129,32.1
21131,25.8
21133,24.4
21135,22.2
21137,18.4
21139,14
21141,15.1
21143,14.4
21145,15.5
21147,36.2
21149,13.6
21151,15.5
21153,30.9
21155,15.7
21157,10.3
21159,31.9
21161,15.7
21163,11.6
21165,22.7
21167,13.1
21169,21.4
21171,22.5
21173,15.7
21175,24.5
21177,16.9
21179,9.2
21181,16.8
21183,15
21185,5
21187,15.1
21189,30.6
21191,13.6
21193,22
21195,23.7
21197,20.5
21199,19.1
21201,17.9
21203,22.4
21205,24.4
21207,18.1
21209,8
21211,8.4
21213,12
21215,6.8
21217,15.9
21219,17.3
21221,16.7
21223,12.2
21225,17.5
21227,18.7
21229,14.2
21231,23.6
21233,15.6
21235,21.7
21237,29.7
21239,9.1
22000,17.8
22001,20.7
22003,21.1
22005,9.6
22007,15.8
22009,21.6
22011,14.5
22013,22.8
22015,17.8
22017,20.9
22019,16.6
22021,21.4
22023,13.1
22025,28.4
22027,31.9
22029,28.6
22031,19.8
22033,16.4
22035,37.6
22037,19.9
22039,24.5
22041,24.1
22043,18.2
22045,22.5
22047,23.7
22049,20.9
22051,16.1
22053,17.6
22055,16.2
22057,14.5
22059,17.3
22061,21.7
22063,11.7
22065,33.6
22067,23.3
22069,21.7
22071,21.1
22073,23.7
22075,16.6
22077,17.3
22079,18.7
22081,23.7
22083,22.5
22085,22.1
22087,21.3
22089,11.3
22091,22.7
22093,13
22095,16.9
22097,22.6
22099,17
22101,19.8
22103,10
22105,20.1
22107,30.8
22109,15.7
22111,26.7
22113,15.4
22115,16.1
22117,22.5
22119,19.7
22121,14.6
22123,20.8
22125,21.9
22127,22.6
23000,10.6
23001,11.7
23003,15.3
23005,8.6
23007,12.9
23009,10.3
23011,11.2
23013,10.2
23015,8.8
23017,13
23019,12.1
23021,14.6
23023,9.2
23025,14.5
23027,11.6
23029,12
23031,8.1
24000,9
24001,14.7
24003,5.2
24005,8.9
24009,5.3
24011,12.4
24013,5.2
24015,8.8
24017,7.4
24019,14.9
24021,6.2
24023,12.8
24025,6.2
24027,5.5
24029,12
24031,6.7
24033,9.5
24035,6.9
24037,7.3
24039,22.2
24041,9.6
24043,12.3
24045,14.2
24047,11.7
24510,20
25000,9.4
25001,7.7
25003,10
25005,10.1
25007,7.5
25009,9
25011,10.7
25013,14.3
25015,9.3
25017,7.1
25019,5.3
25021,5.9
25023,7.2
25025,16.5
25027,9.5
26000,12.6
26001,14
26003,12.1
26005,7.3
26007,15.6
26009,11.3
26011,12.8
26013,12.7
26015,7.6
26017,12.7
26019,9.5
26021,15.1
26023,14.1
26025,15.1
26027,11.1
26029,8.7
26031,12.7
26033,13.9
26035,18
26037,7.9
26039,13.6
26041,11.3
26043,9.7
26045,7.8
26047,8.7
26049,18.3
26051,16.6
26053,12.5
26055,8.7
26057,13.7
26059,12.6
26061,15
26063,11.6
26065,13.8
26067,9.6
26069,13.8
26071,14.2
26073,17.4
26075,12.6
26077,12
26079,12
26081,11.1
26083,11.2
26085,19.2
26087,8.2
26089,7.4
26091,9.5
26093,5.3
26095,19.1
26097,12.5
26099,9.2
26101,12.4
26103,13.6
26105,12.3
26107,13.6
26109,11.4
26111,10.1
26113,12.6
26115,9.7
26117,13.1
26119,15.5
26121,12.3
26123,12.3
26125,7.8
26127,13.3
26129,15.1
26131,14.7
26133,14.2
26135,15.5
26137,9.3
26139,6.7
26141,13.1
26143,15.8
26145,15.9
26147,12.4
26149,13
26151,15.3
26153,11.9
26155,11.6
26157,11.4
26159,14.1
26161,12
26163,20
26165,11.4
27000,8.3
27001,11.1
27003,7.1
27005,11.4
27007,12.1
27009,6.9
27011,10.9
27013,11
27015,6.8
27017,8.7
27019,3.5
27021,12.6
27023,9.3
27025,6.3
27027,8.8
27029,12.8
27031,8.7
27033,11.2
27035,8.5
27037,4.8
27039,5.9
27041,7.4
27043,10.3
27045,8.2
27047,10
27049,7.2
27051,9.3
27053,9.3
27055,6.4
27057,9.1
27059,6.7
27061,10.5
27063,7.6
27065,9.1
27067,8.2
27069,10.3
27071,11.6
27073,8.6
27075,8
27077,8.8
27079,6.7
27081,8.7
27083,8.8
27085,5.8
27087,15.3
27089,7.9
27091,9.9
27093,6.2
27095,9.2
27097,9.8
27099,8.7
27101,7.6
27103,7.2
27105,9.4
27107,10.5
27109,6.4
27111,7.8
27113,8.2
27115,10.2
27117,9.2
27119,10.6
27121,7.9
27123,12.6
27125,8.3
27127,8.6
27129,8.6
27131,8.4
27133,8.2
27135,7.3
27137,10.1
27139,4.3
27141,4.4
27143,7.9
27145,10.6
27147,7.3
27149,9.1
27151,9.5
27153,12.2
27155,11.6
27157,6.1
27159,11.2
27161,7.6
27163,4.4
27165,9.7
27167,8.3
27169,11
27171,4.6
27173,8.6
28000,18.7
28001,27.2
28003,17
28005,21.7
28007,18.8
28009,19.8
28011,28.1
28013,17.1
28015,15.6
28017,24.8
28019,18.7
28021,34.1
28023,19.2
28025,21.5
28027,39.6
28029,22.5
28031,20.3
28033,9.5
28035,24.9
28037,21.4
28039,17.8
28041,21.4
28043,21.4
28045,15.6
28047,16.8
28049,25.9
28051,34.5
28053,33.3
28055,43.3
28057,13.9
28059,13.4
28061,19.3
28063,30.8
28065,25.2
28067,18.8
28069,25.2
28071,17.6
28073,12.6
28075,22.5
28077,19.1
28079,21
28081,13.3
28083,25.3
28085,18.7
28087,16.5
28089,12.6
28091,19.2
28093,22.7
28095,17.5
28097,21.2
28099,18.9
28101,16.3
28103,26.2
28105,23.5
28107,21
28109,15.8
28111,18.1
28113,26.5
28115,12.8
28117,16.5
28119,29.9
28121,10
28123,18.3
28125,30.3
28127,21.2
28129,16.1
28131,17.4
28133,34.8
28135,32
28137,14
28139,16.5
28141,14.6
28143,26.7
28145,13.5
28147,23.5
28149,19.2
28151,27.7
28153,22.1
28155,15.7
28157,28.4
28159,21.8
28161,21.2
28163,31
29000,12.1
29001,17.9
29003,9.1
29005,12
29007,17.8
29009,16
29011,16.6
29013,14.8
29015,16.8
29017,16.3
29019,12.8
29021,13.1
29023,21.2
29025,12.4
29027,11.4
29029,14
29031,11.9
29033,13.4
29035,20.3
29037,6.8
29039,18.5
29041,12
29043,8.8
29045,12.3
29047,7.7
29049,9.5
29051,9.3
29053,13.6
29055,16.3
29057,14.1
29059,24.1
29061,14.1
29063,12.8
29065,15.1
29067,17.8
29069,20.2
29071,9.1
29073,11.2
29075,13
29077,14.3
29079,15.1
29081,17.8
29083,13.6
29085,19.6
29087,12.2
29089,12.7
29091,18.4
29093,19.5
29095,12.4
29097,15.2
29099,8.9
29101,10.8
29103,14.2
29105,16.3
29107,10.4
29109,15.2
29111,14.4
29113,9.4
29115,14.7
29117,12.8
29119,17.6
29121,13
29123,16.3
29125,12.9
29127,14.3
29129,13.6
29131,13.9
29133,19.1
29135,11.6
29137,13
29139,13
29141,15
29143,18.9
29145,13.9
29147,15.2
29149,22
29151,8.5
29153,20.3
29155,35.3
29157,11.7
29159,15.5
